sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
FS40-4K,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"Rock-solid and powerful WUXGA LED projector","Rock-solid and powerful WUXGA LED projector","Rock-solid and powerful WUXGA LED projector",1.000000,1,"Taxable Goods","Catalog, Search",33.000000,,,,fs40-4k,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
FL40-WU,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"Rock-solid and powerful 4K LED projector","Rock-solid and powerful 4K LED projector","Rock-solid and powerful 4K LED projector",1.000000,1,"Taxable Goods","Catalog, Search",34.000000,,,,fl40-wu,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
FL40-4K,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"11,800 lumens, 4K UHD, DLP laser phosphor projector","11,800 lumens, 4K UHD, DLP laser phosphor projector","11,800 lumens, 4K UHD, DLP laser phosphor projector",1.000000,1,"Taxable Goods","Catalog, Search",35.000000,,,,fl40-4k,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
F80-4K9,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"9,000 lumens, 4K UHD, DLP laser phosphor projector","9,000 lumens, 4K UHD, DLP laser phosphor projector","9,000 lumens, 4K UHD, DLP laser phosphor projector",1.000000,1,"Taxable Goods","Catalog, Search",36.000000,,,,f80-4k9,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
F80-4K7,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"7,000 lumens, 4K UHD, DLP laser phosphor projector","7,000 lumens, 4K UHD, DLP laser phosphor projector","7,000 lumens, 4K UHD, DLP laser phosphor projector",1.000000,1,"Taxable Goods","Catalog, Search",37.000000,,,,f80-4k7,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
F70-W6,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"WUXGA laser phosphor projector","WUXGA laser phosphor projector","WUXGA laser phosphor projector",1.000000,1,"Taxable Goods","Catalog, Search",38.000000,,,,f70-w6,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
F70-4K6,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"4K UHD laser phosphor projector","4K UHD laser phosphor projector","4K UHD laser phosphor projector",1.000000,1,"Taxable Goods","Catalog, Search",39.000000,,,,f70-4k6,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP4K-P,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"4K digital postproduction projector","4K digital postproduction projector","4K digital postproduction projector",1.000000,1,"Taxable Goods","Catalog, Search",40.000000,,,,dp4k-p,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP4K-60L,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Ultra-bright 6P RGB laser cinema projector for premium large screens","Ultra-bright 6P RGB laser cinema projector for premium large screens","Ultra-bright 6P RGB laser cinema projector for premium large screens",1.000000,1,"Taxable Goods","Catalog, Search",41.000000,,,,dp4k-60l,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP4K-40LHC,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"High-contrast 6P RGB laser cinema projector for premium large screens","High-contrast 6P RGB laser cinema projector for premium large screens","High-contrast 6P RGB laser cinema projector for premium large screens",1.000000,1,"Taxable Goods","Catalog, Search",42.000000,,,,dp4k-40lhc,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP4K-36BLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Smart Laser cinema projector for screens between 23-27m (75-89 ft)","Smart Laser cinema projector for screens between 23-27m (75-89 ft)","Smart Laser cinema projector for screens between 23-27m (75-89 ft)",1.000000,1,"Taxable Goods","Catalog, Search",43.000000,,,,dp4k-36blp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP4K-32B,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Bright 4K Barco Alchemy DLP Cinema projector (33,000 lumens)","Bright 4K Barco Alchemy DLP Cinema projector (33,000 lumens)","Bright 4K Barco Alchemy DLP Cinema projector (33,000 lumens)",1.000000,1,"Taxable Goods","Catalog, Search",44.000000,,,,dp4k-32b,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-6E,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Compact DLP Barco Alchemy Cinema projector for screens up to 7.5m (24ft) wide","Compact DLP Barco Alchemy Cinema projector for screens up to 7.5m (24ft) wide","Compact DLP Barco Alchemy Cinema projector for screens up to 7.5m (24ft) wide",1.000000,1,"Taxable Goods","Catalog, Search",45.000000,,,,dp2k-6e,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-20CLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Smart Laser cinema projector for screens between 16-19m (52-62ft)","Smart Laser cinema projector for screens between 16-19m (52-62ft)","Smart Laser cinema projector for screens between 16-19m (52-62ft)",1.000000,1,"Taxable Goods","Catalog, Search",46.000000,,,,dp2k-20clp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-20C,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Compact DLP Barco Alchemy Cinema projector (18,500)","Compact DLP Barco Alchemy Cinema projector (18,500)","Compact DLP Barco Alchemy Cinema projector (18,500)",1.000000,1,"Taxable Goods","Catalog, Search",47.000000,,,,dp2k-20c,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-10S,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Small DLP Barco Alchemy Cinema projector (9,000 lumens)","Small DLP Barco Alchemy Cinema projector (9,000 lumens)","Small DLP Barco Alchemy Cinema projector (9,000 lumens)",1.000000,1,"Taxable Goods","Catalog, Search",48.000000,,,,dp2k-10s,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-10SLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Smart Laser cinema projector for screens between 9-13m (29-43 ft)","Smart Laser cinema projector for screens between 9-13m (29-43 ft)","Smart Laser cinema projector for screens between 9-13m (29-43 ft)",1.000000,1,"Taxable Goods","Catalog, Search",49.000000,,,,dp2k-10slp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-15C,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Compact DLP Barco Alchemy Cinema projector (14,500 lumens)","Compact DLP Barco Alchemy Cinema projector (14,500 lumens)","Compact DLP Barco Alchemy Cinema projector (14,500 lumens)",1.000000,1,"Taxable Goods","Catalog, Search",50.000000,,,,dp2k-15c,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-15CLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Smart Laser cinema projector for screens between 13-16m (43-52 ft)","Smart Laser cinema projector for screens between 13-16m (43-52 ft)","Smart Laser cinema projector for screens between 13-16m (43-52 ft)",1.000000,1,"Taxable Goods","Catalog, Search",51.000000,,,,dp2k-15clp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-17BLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Smart Laser cinema projector for screens between 13-18m (43-59 ft)","Smart Laser cinema projector for screens between 13-18m (43-59 ft)","Smart Laser cinema projector for screens between 13-18m (43-59 ft)",1.000000,1,"Taxable Goods","Catalog, Search",52.000000,,,,dp2k-17blp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-19B,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Bright DLP Barco Alchemy Cinema projector (19,000 lumens)","Bright DLP Barco Alchemy Cinema projector (19,000 lumens)","Bright DLP Barco Alchemy Cinema projector (19,000 lumens)",1.000000,1,"Taxable Goods","Catalog, Search",53.000000,,,,dp2k-19b,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-23B,,Default,simple,,base,"Bright DLP Barco Alchemy Cinema projector (24,500 lumens)","Bright DLP Barco Alchemy Cinema projector (24,500 lumens)","Bright DLP Barco Alchemy Cinema projector (24,500 lumens)",1.000000,1,"Taxable Goods","Catalog, Search",54.000000,,,,dp2k-23b,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-23BLP,,Default,simple,,base,"Smart Laser cinema projector for screens between 18-23m (59-75 ft)","Smart Laser cinema projector for screens between 18-23m (59-75 ft)","Smart Laser cinema projector for screens between 18-23m (59-75 ft)",1.000000,1,"Taxable Goods","Catalog, Search",55.000000,,,,dp2k-23blp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-32B,,Default,simple,,base,"Bright DLP Barco Alchemy Cinema projector (33,000 lumens)","Bright DLP Barco Alchemy Cinema projector (33,000 lumens)","Bright DLP Barco Alchemy Cinema projector (33,000 lumens)",1.000000,1,"Taxable Goods","Catalog, Search",56.000000,,,,dp2k-32b,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-36BLP,,Default,simple,,base,"Smart Laser cinema projector for screens between 23-27m (75-89 ft)","Smart Laser cinema projector for screens between 23-27m (75-89 ft)","Smart Laser cinema projector for screens between 23-27m (75-89 ft)",1.000000,1,"Taxable Goods","Catalog, Search",57.000000,,,,dp2k-36blp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-8S,,Default,simple,,base,"Small DLP Barco Alchemy Cinema projector (6,000 lumens)","Small DLP Barco Alchemy Cinema projector (6,000 lumens)","Small DLP Barco Alchemy Cinema projector (6,000 lumens)",1.000000,1,"Taxable Goods","Catalog, Search",58.000000,,,,dp2k-8s,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP2K-8SLP,,Default,simple,,base,"Smart Laser cinema projector for screens between 6-9m (20-29 ft)","Smart Laser cinema projector for screens between 6-9m (20-29 ft)","Smart Laser cinema projector for screens between 6-9m (20-29 ft)",1.000000,1,"Taxable Goods","Catalog, Search",59.000000,,,,dp2k-8slp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP4K-13BLPHC,,Default,simple,,base,"Smart Laser cinema projector for small to mid-size premium movie screens","Smart Laser cinema projector for small to mid-size premium movie screens","Smart Laser cinema projector for small to mid-size premium movie screens",1.000000,1,"Taxable Goods","Catalog, Search",60.000000,,,,dp4k-13blphc,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
DP4K-17BLP,,Default,simple,,base,"Smart Laser cinema projector for screens between 13-18m (43-59 ft)","Smart Laser cinema projector for screens between 13-18m (43-59 ft)","Smart Laser cinema projector for screens between 13-18m (43-59 ft)",1.000000,1,"Taxable Goods","Catalog, Search",61.000000,,,,dp4k-17blp,,,,,,,,,,,,"8/28/20, 4:46 AM","8/28/20, 4:46 AM",,,"Block after Info Column",,,,No,,,,,"3 columns",,"Use config",,"ox_custom=No,ox_featured=No",999.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
