sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
FS40-4K,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,Rock-solid and powerful WUXGA LED projector,Rock-solid and powerful WUXGA LED projector,Rock-solid and powerful WUXGA LED projector,1,1,Taxable Goods,"Catalog, Search",33,,,,fs40-4k,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
FL40-WU,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,Rock-solid and powerful 4K LED projector,Rock-solid and powerful 4K LED projector,Rock-solid and powerful 4K LED projector,1,1,Taxable Goods,"Catalog, Search",34,,,,fl40-wu,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
FL40-4K,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"11,800 lumens, 4K UHD, DLP laser phosphor projector","11,800 lumens, 4K UHD, DLP laser phosphor projector","11,800 lumens, 4K UHD, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",35,,,,fl40-4k,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F80-4K9,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"9,000 lumens, 4K UHD, DLP laser phosphor projector","9,000 lumens, 4K UHD, DLP laser phosphor projector","9,000 lumens, 4K UHD, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",36,,,,f80-4k9,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F80-4K7,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"7,000 lumens, 4K UHD, DLP laser phosphor projector","7,000 lumens, 4K UHD, DLP laser phosphor projector","7,000 lumens, 4K UHD, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",37,,,,f80-4k7,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F70-W6,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,WUXGA laser phosphor projector,WUXGA laser phosphor projector,WUXGA laser phosphor projector,1,1,Taxable Goods,"Catalog, Search",38,,,,f70-w6,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F70-4K6,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,4K UHD laser phosphor projector,4K UHD laser phosphor projector,4K UHD laser phosphor projector,1,1,Taxable Goods,"Catalog, Search",39,,,,f70-4k6,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-P,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,4K digital postproduction projector,4K digital postproduction projector,4K digital postproduction projector,1,1,Taxable Goods,"Catalog, Search",40,,,,dp4k-p,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-60L,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,Ultra-bright 6P RGB laser cinema projector for premium large screens,Ultra-bright 6P RGB laser cinema projector for premium large screens,Ultra-bright 6P RGB laser cinema projector for premium large screens,1,1,Taxable Goods,"Catalog, Search",41,,,,dp4k-60l,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-40LHC,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,High-contrast 6P RGB laser cinema projector for premium large screens,High-contrast 6P RGB laser cinema projector for premium large screens,High-contrast 6P RGB laser cinema projector for premium large screens,1,1,Taxable Goods,"Catalog, Search",42,,,,dp4k-40lhc,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-36BLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,Smart Laser cinema projector for screens between 23-27m (75-89 ft),Smart Laser cinema projector for screens between 23-27m (75-89 ft),Smart Laser cinema projector for screens between 23-27m (75-89 ft),1,1,Taxable Goods,"Catalog, Search",43,,,,dp4k-36blp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-32B,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Bright 4K Barco Alchemy DLP Cinema projector (33,000 lumens)","Bright 4K Barco Alchemy DLP Cinema projector (33,000 lumens)","Bright 4K Barco Alchemy DLP Cinema projector (33,000 lumens)",1,1,Taxable Goods,"Catalog, Search",44,,,,dp4k-32b,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-6E,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,Compact DLP Barco Alchemy Cinema projector for screens up to 7.5m (24ft) wide,Compact DLP Barco Alchemy Cinema projector for screens up to 7.5m (24ft) wide,Compact DLP Barco Alchemy Cinema projector for screens up to 7.5m (24ft) wide,1,1,Taxable Goods,"Catalog, Search",45,,,,dp2k-6e,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-20CLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,Smart Laser cinema projector for screens between 16-19m (52-62ft),Smart Laser cinema projector for screens between 16-19m (52-62ft),Smart Laser cinema projector for screens between 16-19m (52-62ft),1,1,Taxable Goods,"Catalog, Search",46,,,,dp2k-20clp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-20C,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Compact DLP Barco Alchemy Cinema projector (18,500)","Compact DLP Barco Alchemy Cinema projector (18,500)","Compact DLP Barco Alchemy Cinema projector (18,500)",1,1,Taxable Goods,"Catalog, Search",47,,,,dp2k-20c,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-10S,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Small DLP Barco Alchemy Cinema projector (9,000 lumens)","Small DLP Barco Alchemy Cinema projector (9,000 lumens)","Small DLP Barco Alchemy Cinema projector (9,000 lumens)",1,1,Taxable Goods,"Catalog, Search",48,,,,dp2k-10s,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-10SLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,Smart Laser cinema projector for screens between 9-13m (29-43 ft),Smart Laser cinema projector for screens between 9-13m (29-43 ft),Smart Laser cinema projector for screens between 9-13m (29-43 ft),1,1,Taxable Goods,"Catalog, Search",49,,,,dp2k-10slp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-15C,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Compact DLP Barco Alchemy Cinema projector (14,500 lumens)","Compact DLP Barco Alchemy Cinema projector (14,500 lumens)","Compact DLP Barco Alchemy Cinema projector (14,500 lumens)",1,1,Taxable Goods,"Catalog, Search",50,,,,dp2k-15c,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-15CLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,Smart Laser cinema projector for screens between 13-16m (43-52 ft),Smart Laser cinema projector for screens between 13-16m (43-52 ft),Smart Laser cinema projector for screens between 13-16m (43-52 ft),1,1,Taxable Goods,"Catalog, Search",51,,,,dp2k-15clp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-17BLP,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,Smart Laser cinema projector for screens between 13-18m (43-59 ft),Smart Laser cinema projector for screens between 13-18m (43-59 ft),Smart Laser cinema projector for screens between 13-18m (43-59 ft),1,1,Taxable Goods,"Catalog, Search",52,,,,dp2k-17blp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-19B,,Default,simple,"Default Category/Women,Default Category/Women/Dresses",base,"Bright DLP Barco Alchemy Cinema projector (19,000 lumens)","Bright DLP Barco Alchemy Cinema projector (19,000 lumens)","Bright DLP Barco Alchemy Cinema projector (19,000 lumens)",1,1,Taxable Goods,"Catalog, Search",53,,,,dp2k-19b,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-23B,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,"Bright DLP Barco Alchemy Cinema projector (24,500 lumens)","Bright DLP Barco Alchemy Cinema projector (24,500 lumens)","Bright DLP Barco Alchemy Cinema projector (24,500 lumens)",1,1,Taxable Goods,"Catalog, Search",54,,,,dp2k-23b,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-23BLP,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Smart Laser cinema projector for screens between 18-23m (59-75 ft),Smart Laser cinema projector for screens between 18-23m (59-75 ft),Smart Laser cinema projector for screens between 18-23m (59-75 ft),1,1,Taxable Goods,"Catalog, Search",55,,,,dp2k-23blp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-32B,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,"Bright DLP Barco Alchemy Cinema projector (33,000 lumens)","Bright DLP Barco Alchemy Cinema projector (33,000 lumens)","Bright DLP Barco Alchemy Cinema projector (33,000 lumens)",1,1,Taxable Goods,"Catalog, Search",56,,,,dp2k-32b,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-36BLP,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Smart Laser cinema projector for screens between 23-27m (75-89 ft),Smart Laser cinema projector for screens between 23-27m (75-89 ft),Smart Laser cinema projector for screens between 23-27m (75-89 ft),1,1,Taxable Goods,"Catalog, Search",57,,,,dp2k-36blp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-8S,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,"Small DLP Barco Alchemy Cinema projector (6,000 lumens)","Small DLP Barco Alchemy Cinema projector (6,000 lumens)","Small DLP Barco Alchemy Cinema projector (6,000 lumens)",1,1,Taxable Goods,"Catalog, Search",58,,,,dp2k-8s,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP2K-8SLP,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Smart Laser cinema projector for screens between 6-9m (20-29 ft),Smart Laser cinema projector for screens between 6-9m (20-29 ft),Smart Laser cinema projector for screens between 6-9m (20-29 ft),1,1,Taxable Goods,"Catalog, Search",59,,,,dp2k-8slp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-13BLPHC,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Smart Laser cinema projector for small to mid-size premium movie screens,Smart Laser cinema projector for small to mid-size premium movie screens,Smart Laser cinema projector for small to mid-size premium movie screens,1,1,Taxable Goods,"Catalog, Search",60,,,,dp4k-13blphc,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-17BLP,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Smart Laser cinema projector for screens between 13-18m (43-59 ft),Smart Laser cinema projector for screens between 13-18m (43-59 ft),Smart Laser cinema projector for screens between 13-18m (43-59 ft),1,1,Taxable Goods,"Catalog, Search",61,,,,dp4k-17blp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-18BLPHC,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Smart Laser high-contrast cinema projector for mid-size premium movie screens,Smart Laser high-contrast cinema projector for mid-size premium movie screens,Smart Laser high-contrast cinema projector for mid-size premium movie screens,1,1,Taxable Goods,"Catalog, Search",62,,,,dp4k-18blphc,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-19B,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,"Bright 4K DLP Barco Alchemy Cinema projector (19,000 lumens)","Bright 4K DLP Barco Alchemy Cinema projector (19,000 lumens)","Bright 4K DLP Barco Alchemy Cinema projector (19,000 lumens)",1,1,Taxable Goods,"Catalog, Search",63,,,,dp4k-19b,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-20LHC,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,High-contrast 6P RGB laser cinema projector for premium screens,High-contrast 6P RGB laser cinema projector for premium screens,High-contrast 6P RGB laser cinema projector for premium screens,1,1,Taxable Goods,"Catalog, Search",64,,,,dp4k-20lhc,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-22L,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Ultra-bright 6P RGB laser cinema projector for premium mid-size screens,Ultra-bright 6P RGB laser cinema projector for premium mid-size screens,Ultra-bright 6P RGB laser cinema projector for premium mid-size screens,1,1,Taxable Goods,"Catalog, Search",65,,,,dp4k-22l,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-23B,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,"Bright 4K DLP Barco Alchemy Cinema projector (24,500 lumens)","Bright 4K DLP Barco Alchemy Cinema projector (24,500 lumens)","Bright 4K DLP Barco Alchemy Cinema projector (24,500 lumens)",1,1,Taxable Goods,"Catalog, Search",66,,,,dp4k-23b,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-23BLP,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Smart Laser cinema projector for screens between 18-23m (59-75 ft),Smart Laser cinema projector for screens between 18-23m (59-75 ft),Smart Laser cinema projector for screens between 18-23m (59-75 ft),1,1,Taxable Goods,"Catalog, Search",67,,,,dp4k-23blp,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-30L,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Ultra-bright 6P RGB laser cinema projector for premium mid-size screens,Ultra-bright 6P RGB laser cinema projector for premium mid-size screens,Ultra-bright 6P RGB laser cinema projector for premium mid-size screens,1,1,Taxable Goods,"Catalog, Search",68,,,,dp4k-30l,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
DP4K-45L,,Default,simple,"Default Category/Kids,Default Category/Kids/Clothes",base,Ultra-bright 6P RGB laser cinema projector for premium large screens,Ultra-bright 6P RGB laser cinema projector for premium large screens,Ultra-bright 6P RGB laser cinema projector for premium large screens,1,1,Taxable Goods,"Catalog, Search",69,,,,dp4k-45l,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F50 1080,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"Compact 120 Hz, single-chip DLP projector with 1080 resolution","Compact 120 Hz, single-chip DLP projector with 1080 resolution","Compact 120 Hz, single-chip DLP projector with 1080 resolution",1,1,Taxable Goods,"Catalog, Search",70,,,,f50 1080,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
